State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KBWI,1AWE,B-757-200,D,Unknown bird,1,4,2,11,2001,Night,,,Descent,No Cloud,None,,1,Medium
MD,KBWI,USA,B-737-300,D,White-tailed deer,0,4,2,11,2001,Night,0,,Landing Roll,No Cloud,None,,1,Large
MD,KBWI,EGF,SAAB-340,C,Unknown bird,0,3,2,11,2001,Night,8300,230,Descent,No Cloud,None,,1,Small
MD,KBWI,SWA,B-737-700,D,White-tailed deer,1,4,2,10,2001,Dusk,0,,Take-off run,Some Cloud,None,,1,Large
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,10,2001,Night,4000,190,Approach,No Cloud,None,,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,10,2001,Night,6000,250,Approach,No Cloud,None,,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,10,2001,Day,,200,Approach,No Cloud,None,1,1,Small
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,10,2001,,0,,Take-off run,,,,1,Medium
MD,KBWI,AAL,MD-82,D,Unknown bird,0,4,2,10,2001,Night,500,135,Approach,No Cloud,None,,1,Small
MD,KBWI,EGF,SAAB-340,C,Unknown bird,0,3,2,9,2001,Night,2500,220,Approach,No Cloud,None,1,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,9,2001,Night,2000,130,Approach,Some Cloud,None,1,1,Medium
MD,KMTN,BUS,PA-38 TOMAHAWK,A,Gulls,0,1,1,9,2001,Day,50,80,Climb,Overcast,Rain,2 to 10,1,Medium
MD,KBWI,AAL,B-727-200,D,Owls,0,4,3,9,2001,Night,800,140,Approach,No Cloud,None,1,1,Medium
MD,KBWI,NWA,B-757-200,D,Rock pigeon,0,4,2,9,2001,Day,350,120,Approach,No Cloud,None,2 to 10,1,Small
