Date,SPY,Logret,rk_twoscale,rv5,bv,rsv_ss,rk_parzen,rk_th2,medrv,rsv,rv10_ss,rv5_ss,bv_ss,rv10
9/28/2009,87.84,0.0177,0.000057,0.000069,0.000042,0.000011,0.000143,0.000060,0.000020,0.000011,0.000082,0.000069,0.000042,0.000082
9/29/2009,87.57,-0.0030,0.000110,0.000092,0.000076,0.000061,0.000035,0.000109,0.000026,0.000061,0.000091,0.000092,0.000076,0.000091
9/30/2009,87.23,-0.0039,0.000140,0.000152,0.000121,0.000105,0.000257,0.000143,0.000035,0.000105,0.000191,0.000152,0.000121,0.000191
10/1/2009,85.07,-0.0251,0.000137,0.000116,0.000111,0.000091,0.000180,0.000137,0.000049,0.000091,0.000168,0.000116,0.000111,0.000168
10/2/2009,84.67,-0.0047,0.000153,0.000168,0.000110,0.000118,0.000044,0.000155,0.000045,0.000118,0.000120,0.000168,0.000110,0.000120
10/5/2009,85.94,0.0148,0.000081,0.000085,0.000075,0.000025,0.000053,0.000082,0.000025,0.000025,0.000074,0.000085,0.000075,0.000074
10/6/2009,87.17,0.0142,0.000103,0.000125,0.000087,0.000034,0.000184,0.000105,0.000040,0.000034,0.000138,0.000125,0.000087,0.000138
10/7/2009,87.41,0.0027,0.000067,0.000065,0.000071,0.000030,0.000022,0.000067,0.000050,0.000030,0.000071,0.000065,0.000071,0.000071
10/8/2009,88.08,0.0076,0.000073,0.000061,0.000066,0.000021,0.000040,0.000072,0.000037,0.000021,0.000073,0.000061,0.000066,0.000073
10/9/2009,88.61,0.0061,0.000029,0.000025,0.000024,0.000011,0.000019,0.000028,0.000013,0.000011,0.000025,0.000025,0.000024,0.000025
10/12/2009,88.96,0.0039,0.000043,0.000036,0.000020,0.000012,0.000066,0.000044,0.000005,0.000012,0.000037,0.000036,0.000020,0.000037
10/13/2009,88.78,-0.0020,0.000073,0.000060,0.000059,0.000033,0.000039,0.000073,0.000020,0.000033,0.000041,0.000060,0.000059,0.000041
10/14/2009,90.31,0.0171,0.000053,0.000089,0.000054,0.000019,0.000043,0.000054,0.000014,0.000019,0.000057,0.000089,0.000054,0.000057
10/15/2009,90.64,0.0037,0.000036,0.000034,0.000033,0.000015,0.000018,0.000036,0.000015,0.000015,0.000034,0.000034,0.000033,0.000034
10/16/2009,89.96,-0.0075,0.000081,0.000115,0.000071,0.000091,0.000079,0.000083,0.000017,0.000091,0.000079,0.000115,0.000071,0.000079
10/19/2009,90.70,0.0082,0.000037,0.000033,0.000026,0.000011,0.000045,0.000037,0.000013,0.000011,0.000045,0.000033,0.000026,0.000045
10/20/2009,90.22,-0.0053,0.000068,0.000068,0.000057,0.000042,0.000047,0.000069,0.000030,0.000042,0.000077,0.000068,0.000057,0.000077
10/21/2009,89.41,-0.0090,0.000089,0.000104,0.000099,0.000068,0.000236,0.000092,0.000043,0.000068,0.000093,0.000104,0.000099,0.000093
10/22/2009,90.32,0.0101,0.000093,0.000072,0.000071,0.000028,0.000076,0.000091,0.000039,0.000028,0.000079,0.000072,0.000071,0.000079
10/23/2009,89.29,-0.0115,0.000128,0.000136,0.000107,0.000101,0.000093,0.000131,0.000058,0.000101,0.000125,0.000136,0.000107,0.000125
10/26/2009,88.32,-0.0109,0.000175,0.000183,0.000165,0.000121,0.000343,0.000178,0.000073,0.000121,0.000220,0.000183,0.000165,0.000220
10/27/2009,87.92,-0.0046,0.000189,0.000175,0.000153,0.000088,0.000049,0.000190,0.000064,0.000088,0.000115,0.000175,0.000153,0.000115
10/28/2009,86.26,-0.0191,0.000140,0.000134,0.000146,0.000085,0.000077,0.000141,0.000123,0.000085,0.000087,0.000134,0.000146,0.000087
10/29/2009,88.11,0.0212,0.000105,0.000094,0.000073,0.000021,0.000099,0.000106,0.000035,0.000021,0.000096,0.000094,0.000073,0.000096
10/30/2009,85.56,-0.0294,0.000236,0.000256,0.000207,0.000187,0.000201,0.000238,0.000114,0.000187,0.000244,0.000256,0.000207,0.000244
11/2/2009,86.18,0.0073,0.000290,0.000308,0.000237,0.000117,0.000289,0.000292,0.000137,0.000117,0.000260,0.000308,0.000237,0.000260
11/3/2009,86.46,0.0032,0.000170,0.000185,0.000196,0.000092,0.000045,0.000172,0.000103,0.000092,0.000155,0.000185,0.000196,0.000155
11/4/2009,86.68,0.0026,0.000164,0.000178,0.000168,0.000075,0.000203,0.000161,0.000036,0.000075,0.000154,0.000178,0.000168,0.000154
11/5/2009,88.27,0.0182,0.000089,0.000103,0.000054,0.000017,0.000138,0.000088,0.000021,0.000017,0.000110,0.000103,0.000054,0.000110
11/6/2009,88.50,0.0026,0.000101,0.000107,0.000109,0.000055,0.000040,0.000102,0.000034,0.000055,0.000070,0.000107,0.000109,0.000070
11/9/2009,90.52,0.0225,0.000044,0.000052,0.000047,0.000005,0.000088,0.000042,0.000014,0.000005,0.000080,0.000052,0.000047,0.000080
11/10/2009,90.54,0.0002,0.000053,0.000044,0.000039,0.000022,0.000035,0.000053,0.000026,0.000022,0.000046,0.000044,0.000039,0.000046
11/11/2009,91.00,0.0051,0.000077,0.000073,0.000052,0.000036,0.000069,0.000077,0.000027,0.000036,0.000066,0.000073,0.000052,0.000066
11/12/2009,90.07,-0.0102,0.000073,0.000081,0.000080,0.000050,0.000051,0.000073,0.000032,0.000050,0.000095,0.000081,0.000080,0.000095
11/13/2009,90.56,0.0054,0.000078,0.000058,0.000052,0.000028,0.000054,0.000078,0.000029,0.000028,0.000048,0.000058,0.000052,0.000048
11/16/2009,91.88,0.0144,0.000067,0.000105,0.000061,0.000020,0.000177,0.000068,0.000020,0.000020,0.000123,0.000105,0.000061,0.000123
11/17/2009,91.98,0.0012,0.000050,0.000054,0.000040,0.000030,0.000023,0.000050,0.000031,0.000030,0.000056,0.000054,0.000040,0.000056
11/18/2009,91.92,-0.0006,0.000051,0.000048,0.000053,0.000028,0.000029,0.000051,0.000021,0.000028,0.000032,0.000048,0.000053,0.000032
11/19/2009,90.73,-0.0131,0.000076,0.000101,0.000098,0.000079,0.000163,0.000076,0.000026,0.000079,0.000139,0.000101,0.000098,0.000139
11/20/2009,90.40,-0.0036,0.000041,0.000043,0.000038,0.000025,0.000020,0.000041,0.000013,0.000025,0.000022,0.000043,0.000038,0.000022
11/23/2009,91.55,0.0126,0.000079,0.000111,0.000060,0.000013,0.000181,0.000083,0.000013,0.000013,0.000158,0.000111,0.000060,0.000158
11/24/2009,91.69,0.0015,0.000051,0.000043,0.000033,0.000026,0.000049,0.000052,0.000010,0.000026,0.000042,0.000043,0.000033,0.000042
11/25/2009,92.02,0.0035,0.000020,0.000018,0.000014,0.000007,0.000009,0.000021,0.000006,0.000007,0.000020,0.000018,0.000014,0.000020
11/27/2009,90.52,-0.0164,0.000275,0.000370,0.000095,0.000342,0.000236,0.000284,0.000024,0.000342,0.000435,0.000370,0.000095,0.000435
11/30/2009,90.83,0.0034,0.000074,0.000058,0.000058,0.000025,0.000082,0.000074,0.000040,0.000025,0.000050,0.000058,0.000058,0.000050
12/1/2009,91.95,0.0123,0.000071,0.000098,0.000064,0.000025,0.000056,0.000072,0.000020,0.000025,0.000107,0.000098,0.000064,0.000107
12/2/2009,91.91,-0.0004,0.000045,0.000046,0.000037,0.000023,0.000037,0.000045,0.000012,0.000023,0.000039,0.000046,0.000037,0.000039
12/3/2009,91.19,-0.0079,0.000059,0.000071,0.000069,0.000043,0.000084,0.000060,0.000019,0.000043,0.000099,0.000071,0.000069,0.000099
12/4/2009,91.71,0.0057,0.000178,0.000226,0.000161,0.000064,0.000310,0.000184,0.000066,0.000064,0.000289,0.000226,0.000161,0.000289
12/7/2009,91.57,-0.0015,0.000052,0.000045,0.000029,0.000021,0.000044,0.000053,0.000011,0.000021,0.000044,0.000045,0.000029,0.000044
12/8/2009,90.55,-0.0112,0.000089,0.000113,0.000068,0.000090,0.000083,0.000091,0.000017,0.000090,0.000151,0.000113,0.000068,0.000151
12/9/2009,90.89,0.0037,0.000060,0.000060,0.000062,0.000027,0.000053,0.000060,0.000031,0.000027,0.000066,0.000060,0.000062,0.000066
12/10/2009,91.40,0.0056,0.000045,0.000051,0.000028,0.000015,0.000028,0.000044,0.000010,0.000015,0.000067,0.000051,0.000028,0.000067
12/11/2009,91.79,0.0042,0.000045,0.000035,0.000027,0.000016,0.000019,0.000045,0.000012,0.000016,0.000045,0.000035,0.000027,0.000045
12/14/2009,92.42,0.0068,0.000029,0.000029,0.000020,0.000007,0.000013,0.000029,0.000007,0.000007,0.000020,0.000029,0.000020,0.000020
12/15/2009,91.99,-0.0047,0.000026,0.000042,0.000017,0.000032,0.000028,0.000026,0.000007,0.000032,0.000036,0.000042,0.000017,0.000036
12/16/2009,92.13,0.0015,0.000038,0.000049,0.000031,0.000016,0.000034,0.000038,0.000008,0.000016,0.000048,0.000049,0.000031,0.000048
12/17/2009,91.02,-0.0121,0.000045,0.000056,0.000049,0.000040,0.000038,0.000045,0.000022,0.000040,0.000045,0.000056,0.000049,0.000045
12/18/2009,91.54,0.0056,0.000038,0.000034,0.000031,0.000014,0.000052,0.000039,0.000017,0.000014,0.000043,0.000034,0.000031,0.000043
12/21/2009,92.47,0.0101,0.000038,0.000065,0.000015,0.000006,0.000067,0.000041,0.000008,0.000006,0.000067,0.000065,0.000015,0.000067
12/22/2009,92.80,0.0036,0.000021,0.000022,0.000015,0.000006,0.000020,0.000021,0.000005,0.000006,0.000026,0.000022,0.000015,0.000026
12/23/2009,92.98,0.0020,0.000021,0.000016,0.000014,0.000009,0.000007,0.000021,0.000004,0.000009,0.000015,0.000016,0.000014,0.000015
12/24/2009,93.42,0.0047,0.000008,0.000013,0.000008,0.000002,0.000012,0.000009,0.000002,0.000002,0.000008,0.000013,0.000008,0.000008
12/28/2009,93.62,0.0021,0.000013,0.000012,0.000009,0.000005,0.000018,0.000013,0.000003,0.000005,0.000016,0.000012,0.000009,0.000016
12/29/2009,93.49,-0.0014,0.000009,0.000012,0.000011,0.000006,0.000007,0.000009,0.000003,0.000006,0.000009,0.000012,0.000011,0.000009
12/30/2009,93.46,-0.0004,0.000022,0.000026,0.000015,0.000014,0.000009,0.000022,0.000008,0.000014,0.000021,0.000026,0.000015,0.000021
12/31/2009,92.56,-0.0096,0.000018,0.000020,0.000013,0.000017,0.000051,0.000019,0.000005,0.000017,0.000025,0.000020,0.000013,0.000025
1/4/2010,94.13,0.0168,0.000043,0.000071,0.000043,0.000005,0.000101,0.000044,0.000005,0.000005,0.000097,0.000071,0.000043,0.000097
1/5/2010,94.38,0.0026,0.000021,0.000030,0.000029,0.000015,0.000023,0.000021,0.000009,0.000015,0.000027,0.000030,0.000029,0.000027
1/6/2010,94.45,0.0007,0.000019,0.000020,0.000018,0.000010,0.000008,0.000019,0.000008,0.000010,0.000022,0.000020,0.000018,0.000022
1/7/2010,94.85,0.0042,0.000029,0.000029,0.000029,0.000013,0.000023,0.000029,0.000014,0.000013,0.000030,0.000029,0.000029,0.000030
1/8/2010,95.16,0.0033,0.000028,0.000026,0.000022,0.000011,0.000015,0.000027,0.000008,0.000011,0.000029,0.000026,0.000022,0.000029
1/11/2010,95.29,0.0014,0.000030,0.000032,0.000025,0.000015,0.000013,0.000031,0.000009,0.000015,0.000024,0.000032,0.000025,0.000024
1/12/2010,94.40,-0.0094,0.000046,0.000050,0.000041,0.000033,0.000040,0.000046,0.000020,0.000033,0.000048,0.000050,0.000041,0.000048
1/13/2010,95.20,0.0084,0.000037,0.000038,0.000035,0.000015,0.000044,0.000037,0.000017,0.000015,0.000035,0.000038,0.000035,0.000035
1/14/2010,95.46,0.0027,0.000023,0.000021,0.000018,0.000009,0.000012,0.000023,0.000008,0.000009,0.000020,0.000021,0.000018,0.000020
